CustomerKey;FirstName;LastName;FullName;BirthDate;Gender;Children;Education;DateFirstPurchase;CommuteDistance;CustomerCity
11144;Edward;Hernandez;Edward Hernandez;1985-03-08;Male;0;High School;2024-01-25;0-1 Miles;Ballard
11235;Angel;Stewart;Angel Stewart;1957-08-07;Male;4;Partial College;2024-07-04;10+ Miles;Ballard
11301;Cameron;Rodriguez;Cameron Rodriguez;1965-12-07;Male;5;Partial College;2024-06-09;5-10 Miles;Ballard
11770;Peter;Nara;Peter Nara;1979-02-20;Male;0;Graduate Degree;2024-08-08;1-2 Miles;Ballard
11785;Theodore;Diaz;Theodore Diaz;1983-02-21;Male;1;Bachelors;2024-04-21;0-1 Miles;Ballard
11878;Christine;Nara;Christine Nara;1971-02-04;Female;1;Partial College;2024-11-30;2-5 Miles;Ballard
11884;Latoya;Shen;Latoya Shen;1970-04-22;Female;5;Graduate Degree;2024-02-17;0-1 Miles;Ballard
12366;Stephanie;Cox;Stephanie Cox;1948-01-07;Female;5;Bachelors;2024-04-11;5-10 Miles;Ballard
13274;Joshua;Lee;Joshua Lee;1970-10-01;Male;4;Partial College;2023-01-31;2-5 Miles;Ballard
13432;Dalton;Wood;Dalton Wood;1978-06-14;Male;3;Partial College;2024-03-27;2-5 Miles;Ballard
13659;Clayton;Shan;Clayton Shan;1947-04-17;Male;2;Bachelors;2024-06-05;5-10 Miles;Ballard
13754;Paige;Peterson;Paige Peterson;1964-01-24;Female;4;Graduate Degree;2024-12-18;1-2 Miles;Ballard
13926;Dalton;Hill;Dalton Hill;1969-01-20;Male;0;Bachelors;2024-05-05;2-5 Miles;Ballard
14097;Johnathan;Srini;Johnathan Srini;1985-03-25;Male;0;High School;2024-07-25;5-10 Miles;Ballard
14342;Beth;Ruiz;Beth Ruiz;1984-09-22;Female;0;High School;2023-07-31;0-1 Miles;Ballard
14404;Rachel;Davis;Rachel Davis;1956-03-26;Female;2;Partial College;2024-02-22;2-5 Miles;Ballard
14637;Dustin;Nath;Dustin Nath;1976-09-01;Male;4;High School;2024-09-24;0-1 Miles;Ballard
15258;Chloe;Reed;Chloe Reed;1983-11-04;Female;0;High School;2024-09-25;5-10 Miles;Ballard
15512;Jose;Hayes;Jose Hayes;1975-01-29;Male;5;Graduate Degree;2024-10-23;0-1 Miles;Ballard
15892;Pamela;Srini;Pamela Srini;1964-07-05;Female;2;High School;2023-10-28;10+ Miles;Ballard
16022;Devin;Hernandez;Devin Hernandez;1984-01-17;Male;0;Partial High School;2024-08-06;1-2 Miles;Ballard
16068;Jerry;Shen;Jerry Shen;1974-08-31;Male;2;Bachelors;2024-09-18;0-1 Miles;Ballard
16229;Wayne;Chande;Wayne Chande;1971-11-13;Male;1;Partial College;2024-12-07;1-2 Miles;Ballard
16877;Katelyn;Adams;Katelyn Adams;1947-08-30;Female;2;Graduate Degree;2024-02-15;1-2 Miles;Ballard
17349;Cassie;Kennedy;Cassie Kennedy;1985-05-25;Female;0;High School;2024-10-17;5-10 Miles;Ballard
18402;Kimberly;Kelly;Kimberly Kelly;1967-05-17;Female;5;Partial College;2024-08-29;5-10 Miles;Ballard
18403;Madeline;Phillips;Madeline Phillips;1966-08-26;Female;5;Partial College;2024-12-26;5-10 Miles;Ballard
18813;Kristy;Hernandez;Kristy Hernandez;1968-11-05;Female;0;Partial College;2025-01-20;5-10 Miles;Ballard
18861;Ashley;Wood;Ashley Wood;1959-08-22;Female;3;High School;2024-10-10;5-10 Miles;Ballard
18886;Donald;McDonald;Donald McDonald;1983-06-10;Male;0;Partial High School;2024-09-26;1-2 Miles;Ballard
18887;Kari;Hernandez;Kari Hernandez;1982-11-21;Female;0;Partial High School;2024-12-27;5-10 Miles;Ballard
19126;Kristopher;Kapoor;Kristopher Kapoor;1981-05-19;Male;2;Graduate Degree;2024-09-26;2-5 Miles;Ballard
19663;Alex;Allen;Alex Allen;1985-05-11;Male;4;Partial College;2024-08-25;0-1 Miles;Ballard
19860;Sara;Young;Sara Young;1953-04-11;Female;2;Partial College;2024-02-26;10+ Miles;Ballard
20274;Brent;Wang;Brent Wang;1981-10-19;Male;0;High School;2024-08-02;5-10 Miles;Ballard
20281;Karl;Xie;Karl Xie;1984-10-25;Male;0;High School;2024-06-18;0-1 Miles;Ballard
20389;Lee;Romero;Lee Romero;1945-08-04;Male;5;Graduate Degree;2024-11-04;10+ Miles;Ballard
20513;Joseph;Smith;Joseph Smith;1952-08-02;Male;2;Partial College;2024-03-29;10+ Miles;Ballard
21296;Luis;Hall;Luis Hall;1978-05-20;Male;5;Partial College;2025-01-16;1-2 Miles;Ballard
22721;Colleen;Lin;Colleen Lin;1968-01-21;Female;4;High School;2024-08-07;2-5 Miles;Ballard
22741;Darryl;He;Darryl He;1951-06-20;Male;4;High School;2024-03-24;10+ Miles;Ballard
23193;Alexis;Flores;Alexis Flores;1971-03-06;Female;3;Bachelors;2024-06-25;2-5 Miles;Ballard
23246;Renee;Gill;Renee Gill;1972-02-01;Female;0;Graduate Degree;2024-08-16;0-1 Miles;Ballard
23381;Bianca;Hu;Bianca Hu;1967-01-08;Female;4;High School;2025-01-28;10+ Miles;Ballard
23448;Abigail;Peterson;Abigail Peterson;1962-08-16;Female;2;Partial High School;2024-11-16;5-10 Miles;Ballard
23460;Javier;Ramos;Javier Ramos;1971-06-10;Male;4;Partial College;2024-10-23;2-5 Miles;Ballard
23504;George;Rana;George Rana;1966-06-16;Male;5;Partial College;2024-05-28;1-2 Miles;Ballard
23869;Wayne;Nara;Wayne Nara;1975-09-12;Male;2;Graduate Degree;2024-03-10;2-5 Miles;Ballard
25898;Brittney;Cai;Brittney Cai;1958-05-16;Female;2;High School;2024-07-07;2-5 Miles;Ballard
